# x0=40, y0=-20, x1=40, y1=-56.3, x2=40, y2=-63.8
# time  ux_r0  uy_r0  ux_r1  uy_r1  ux_r2  uy_r2
0 0 0 0 0 0 0
8.33e-06 0 0 0 0 0 0
1.666e-05 0 0 0 0 0 0
2.499e-05 0 0 0 0 0 0
3.332e-05 0 0 0 0 0 0
4.165e-05 0 0 0 0 0 0
4.998e-05 0 0 0 0 0 0
0.00114954 -2.06767e-41 -1.33561e-53 1.39497e-82 -2.00531e-83 -1.12666e-91 -1.99911e-96
0.00115787 -2.40019e-41 -1.9606e-53 1.58728e-82 -2.21694e-83 -1.85279e-91 -2.88781e-96
0.0011662 -2.73055e-41 -2.65066e-53 1.74711e-82 -2.35737e-83 -2.85816e-91 -3.96643e-96
0.00117453 -3.04732e-41 -3.39146e-53 1.84102e-82 -2.37623e-83 -4.21904e-91 -5.21035e-96
0.00118286 -3.33703e-41 -4.16334e-53 1.8225e-82 -2.20655e-83 -6.02413e-91 -6.55516e-96
0.00119119 -3.58413e-41 -4.94087e-53 1.62884e-82 -1.76161e-83 -8.37361e-91 -7.87906e-96
0.00119952 -3.77106e-41 -5.69273e-53 1.17766e-82 -9.31955e-84 -1.13765e-90 -8.98164e-96
0.00120785 -3.87845e-41 -6.38176e-53 3.63321e-83 4.1748e-84 -1.51456e-90 -9.5593e-96
0.00121618 -3.88529e-41 -6.96528e-53 -9.46551e-83 2.44943e-83 -1.97895e-90 -9.17844e-96
0.00122451 -3.76928e-41 -7.39574e-53 -2.91421e-82 5.35531e-83 -2.54002e-90 -7.24848e-96
0.00123284 -3.50732e-41 -7.62139e-53 -5.73398e-82 9.35437e-83 -3.20346e-90 -2.99801e-96
0.00124117 -3.07599e-41 -7.58789e-53 -9.63293e-82 1.46903e-82 -3.96901e-90 4.54119e-96
0.0012495 -2.45228e-41 -7.23985e-53 -1.48692e-81 2.16242e-82 -4.82705e-90 1.65353e-95
